"","gene","probe","T1","T2","T3","C1","C2","C3"
"289",27,3,9.34,7.26,10.52,10.66,11.47,5.24
"290",27,4,21.46,19.59,20,17.25,12.71,12.25
"291",27,5,6.91,8.71,12.47,9.36,7.5,5.77
"292",27,6,5.64,8.39,9.16,6.32,6.88,5.28
"293",27,7,5.47,6.56,11.33,4.27,4.73,3.88
"294",27,8,3.6,6.14,6.66,5.09,4.59,5.09
"295",27,9,299.68,172.05,166.02,225.38,201.42,194.91
"296",27,10,117.68,89.55,85.02,123.58,122.92,112.91
"297",27,11,20.57,56.05,19.15,23.18,40.43,29.27
"298",28,1,18.18,14.7,11.79,10.81,9.22,12.74
"299",28,2,8.91,8.39,8.31,7.34,6.31,5.49
"300",28,3,9.56,12.71,13.87,7.61,142.92,10.1
"301",28,4,26.32,14.1,20.1,35.39,10.05,23.22
"302",28,5,44.68,26.46,15.87,22.44,26.18,11.67
"303",28,6,29.74,30.52,17.01,25.26,33.76,29.47
"304",28,7,8.32,7.88,9.99,9.45,17.91,7.65
"305",28,8,21.64,21.44,9.58,13.79,12.54,7.65
"306",28,9,4.81,4.4,14.43,5.71,4.88,4
"307",28,10,42.18,24.91,29.03,67.88,43.43,42.71
"308",28,11,23.48,64.35,30.47,43.09,31.49,32.43
"309",29,1,34.2,35.1,22.43,36.09,54.42,23.22
"310",29,2,40.18,22.88,11.26,32.11,27.61,39.41
"311",29,3,41.18,60.05,30.47,36.09,33.46,48.41
"312",29,4,183.18,211.05,48.45,172.08,144.42,94.21
"313",29,5,126.48,100.05,144.02,129.08,113.42,106.21
"314",29,6,7.44,7.09,8.47,7.34,6.5,5.28
"315",29,7,8.91,30.52,8.97,11.74,5.94,7.32
"316",29,8,5.57,14.89,7.57,7.34,5.94,6.72
"317",29,9,12.44,7.01,23.28,9.82,10.05,6.26
"318",29,10,9.79,13.53,19.76,12.95,15.01,13.51
"319",29,11,5.37,19.98,13.23,5.39,6.8,7.65
"320",30,1,6.28,6.45,6.81,7.68,8.3,6.58
"321",30,2,79.48,91.55,50.36,52.08,65.42,53.91
"322",30,3,91.18,63.05,53.25,92.08,59.72,67.91
"323",30,4,788.18,654.05,566.02,672.08,556.42,461.91
"324",30,5,2482.68,2961.35,1835.02,2388.58,2042.42,1817.91
"325",30,6,27.58,20.79,13.87,23.84,9.62,8.11
"326",30,7,258.18,395.05,181.32,200.08,292.22,126.71
"327",30,8,67.18,85.05,53.25,65.58,85.22,46.91
"328",30,9,48.18,33.92,17.83,30.43,27.61,17.53
"329",30,10,4.46,20.79,14.18,8.93,9.41,6.13
"330",30,11,490.18,480.05,360.02,486.08,515.42,371.91
"331",31,1,106.68,128.55,90.02,113.38,276.42,100.91
"332",31,2,42.18,30.52,17.62,25.55,35.45,13.51
"333",31,3,58.18,78.05,14.18,51.08,58.42,26.54
"334",31,4,126.48,161.85,132.82,148.58,150.42,106.91
"335",31,5,209.48,209.05,143.02,199.08,159.92,98.21
"336",31,6,102.98,147.05,84.02,97.08,93.22,74.71
"337",31,7,2444.98,2514.05,2091.02,2020.08,2775.92,1961.41
"338",31,8,38.19,29.27,66.05,45.09,58.42,47.41
"339",31,9,131.48,135.55,83.82,139.08,92.42,91.41
"340",31,10,419.18,357.35,253.02,354.08,279.22,234.41
"341",31,11,12.75,19.98,14.12,17.09,26.65,8.49
"342",32,1,278.18,336.55,170.02,289.08,278.22,171.91
"343",32,2,361.18,390.35,270.02,331.08,317.22,261.71
"344",32,3,260.48,254.05,170.32,182.08,187.22,133.41
"345",32,4,64.98,58.05,54.22,76.08,41.43,52.91
"346",32,5,64.98,100.55,75.53,70.08,82.42,80.21
"347",32,6,84.48,94.05,59.42,96.08,81.42,72.91
"348",32,7,298.18,325.55,117.82,237.08,236.22,116.91
"349",32,8,179.18,226.35,105.82,176.08,208.42,88.91
"350",32,9,5.37,4.77,8.55,4.65,4.32,5.55
"351",32,10,11.46,24.64,15.51,8.41,16.41,14.17
"352",32,11,145.18,167.05,48.45,159.38,139.92,71.71
"353",33,1,58.68,91.05,28.89,59.58,64.42,51.91
"354",33,2,162.18,256.05,112.02,134.08,131.42,120.41
"355",33,3,145.18,107.05,95.32,133.88,110.22,70.91
"356",33,4,4.53,6.34,7.39,4.46,5.44,5.28
"357",33,5,7.77,6.34,8.4,4.91,5.87,6.72
"358",33,6,102.48,89.05,60.11,79.88,94.42,61.91
"359",33,7,8.51,7.34,7.68,9.68,6.68,5.89
"360",33,8,7.77,11.61,7.1,7.68,10.18,6.18
"361",33,9,5.17,9.4,10.72,9.68,8.83,5.05
"362",33,10,6.15,7.52,6.42,4.82,6.93,10.5
"363",33,11,8.51,18.29,9.32,6.73,11.88,10.86
"364",34,1,5.8,7.26,8,4.17,7.29,6.72
"365",34,2,198.48,243.05,111.32,176.08,147.42,103.91
"366",34,3,3.35,4.49,6.39,5,4.96,6.52
"367",34,4,4.98,6.78,7.78,4.13,22.33,8.77
"368",34,5,15.09,5.76,8.55,7.34,9.62,6.44
"369",34,6,37.19,28.61,16.62,41.09,48.42,49.91
"370",34,7,79.18,29.27,35.12,51.38,87.92,69.71
"371",34,8,272.98,255.85,215.02,243.08,156.92,270.41
"372",34,9,900.68,1187.55,699.82,830.08,951.72,679.21
"373",34,10,969.98,942.35,690.02,901.38,960.42,669.71
"374",34,11,238.18,266.05,235.02,198.88,290.42,275.91
"375",35,1,68.18,68.35,32.73,70.08,47.42,63.21
"376",35,2,288.18,363.05,266.82,251.38,291.42,276.91
"377",35,3,1202.68,1391.55,1295.02,1067.08,1314.22,1238.91
"378",35,4,470.18,593.05,550.02,390.58,577.42,523.91
"379",35,5,42.48,32.16,20.1,27.19,22.95,11.84
"380",35,6,60.18,39.56,37.19,51.38,70.42,35.22
"381",35,7,32.21,48.05,31.96,45.09,68.42,39.91
"382",35,8,158.18,142.05,140.02,158.08,151.42,155.91
"383",35,9,550.18,607.05,594.32,488.08,517.92,531.91
"384",35,10,368.18,393.05,372.32,321.08,380.42,304.91
"385",35,11,4.34,4.7,10.83,4,5.04,3.55
"386",36,1,76.98,65.35,48.93,68.08,57.42,53.21
"387",36,2,15.31,15.33,10.78,8.14,9.83,8.37
"388",36,3,91.18,79.05,34.55,81.08,57.72,61.71
"389",36,4,48.18,40.06,15.79,34.1,35.74,24.63
"390",36,5,22.37,22.45,15.16,23.65,25.24,11.12
"391",36,6,39.18,29.75,13,46.59,23.67,17.94
"392",36,7,18.43,22.03,13,9.68,12.83,9.19
"393",36,8,4.81,9.51,10.32,5.35,6.5,3.52
"394",36,9,4.53,4.87,15.87,3.59,9.62,4.74
"395",36,10,9.34,11.02,8.84,11.74,12.54,10.6
"396",36,11,79.18,75.05,37.87,83.08,63.42,59.91
"397",37,1,300.18,279.05,244.52,256.38,319.42,175.21
"398",37,2,304.18,283.05,180.32,273.88,284.42,175.91
"399",37,3,12.44,10.8,10.62,7.34,11.47,17.94
"400",37,4,24.42,22.71,9.32,21.53,47.22,12.87
"401",37,5,221.18,234.05,129.52,188.88,211.42,127.41
"402",37,6,10.26,10.58,6.79,5.83,7.5,5.7
"403",37,7,210.98,330.05,131.02,204.88,264.42,145.91
"404",37,8,5.17,8.18,7.37,5.78,6.43,6.44
"405",37,9,535.18,612.55,384.82,461.38,516.42,435.71
"406",37,10,33.2,37.08,13.57,37.59,32.47,13.05
"407",37,11,6.36,11.15,6.57,6.07,8.4,8.3
"408",38,1,36.19,28.32,13.87,33.1,17.15,21.39
"409",38,2,8.43,8.09,8.55,11.19,8.95,7.32
"410",38,3,48.18,37.87,44.07,50.58,42.43,37.72
"411",38,4,5.57,5.76,6.86,4.74,4.81,6.72
"412",38,5,5.57,5.27,6.99,3.65,6.43,5.89
"413",38,6,23.48,22.88,9.67,13.59,22.33,8.77
"414",38,7,11.46,7.8,8.55,4.79,17.15,8.3
"415",38,8,96.18,100.85,31.06,74.38,91.72,40.41
"416",38,9,10.77,8.98,8.04,5.09,7.8,4.62
"417",38,10,618.18,648.05,472.02,514.08,590.22,556.91
"418",38,11,191.18,183.05,123.82,137.88,150.22,129.71
"419",39,1,197.68,160.35,80.82,166.08,70.42,133.21
"420",39,2,155.98,243.05,82.02,173.08,115.42,89.91
"421",39,3,133.98,101.55,103.02,118.08,89.42,103.91
"422",39,4,7.12,17.35,13.57,9.23,36.44,8.77
"423",39,5,17.37,9.05,10.83,9.23,16.63,6.44
"424",39,6,8.51,6.78,11.96,6.45,6.27,7.93
"425",39,7,11.3,7.8,9.13,4.82,7.15,7.01
"426",39,8,70.18,60.35,18.39,59.08,52.72,37.91
"427",39,9,4.64,5.04,9.24,7.44,5.98,9.32
"428",39,10,150.18,99.55,74.03,139.08,117.42,86.91
"429",39,11,184.18,205.05,65.56,153.08,192.42,86.71
"430",40,1,119.98,99.55,61.09,104.08,125.92,74.91
"431",40,2,111.98,151.35,66.35,124.08,87.92,99.91
"432",40,3,141.18,117.05,136.52,123.38,80.72,116.91
"433",40,4,578.98,663.05,495.82,954.08,1293.42,1076.91
"434",40,5,508.18,386.05,705.32,823.08,908.92,1450.91
"435",40,6,1013.48,1097.05,1223.02,1614.08,1937.42,2053.91
"436",40,7,1691.18,1991.05,2111.02,1899.58,2091.92,2646.71
"437",40,8,563.68,689.35,712.32,965.38,1019.42,1390.41
"438",40,9,535.18,683.05,530.32,1088.38,1216.42,1100.91
"439",40,10,486.68,559.05,513.32,791.08,914.42,1025.91
"440",40,11,880.18,1115.05,832.02,1410.08,1616.42,1546.91
"441",41,1,795.98,971.05,1151.02,1579.88,1465.22,2161.91
"442",41,2,637.48,942.05,890.82,1049.08,1439.22,1890.71
"443",41,3,178.98,165.05,95.02,239.08,298.22,271.21
"444",41,4,144.18,132.05,88.52,198.58,338.22,297.21
"445",41,5,110.18,113.05,123.02,156.38,303.42,306.71
"446",41,6,47.18,61.05,13.23,105.58,136.42,76.41
"447",41,7,654.18,890.05,720.02,1094.58,1151.42,1169.71
"448",41,8,1394.48,1036.55,1371.02,1601.08,1647.72,2330.71
"449",41,9,50.98,49.05,25.87,47.08,79.42,49.91
"450",41,10,11.3,14.28,15.33,18.73,15.21,11.67
"451",41,11,63.18,57.05,29.24,48.08,43.92,54.41
"452",42,1,151.18,204.85,104.02,181.08,145.22,92.21
"453",42,2,215.18,236.05,108.82,215.08,189.42,145.71
"454",42,3,15.45,22.88,11.56,14.27,19.51,9.86
"455",42,4,19.7,24.64,13.57,28.16,29.83,18.77
"456",42,5,306.68,330.05,269.02,312.08,317.42,241.91
"457",42,6,1167.18,1439.05,762.82,969.08,1087.92,706.71
"458",42,7,5.57,12.45,8.27,7.34,10.18,5.7
